A A {'rel_weight': 0.9961118379647159, 'rel_center': 0.9998113278777377, 'rel_inertia': 0.9998154651182647}
A B {'rel_weight': 0.9358611697670242, 'rel_center': 0.9877502328130666, 'rel_inertia': 0.9963006833104586}
A C {'rel_weight': 0.9925750585243018, 'rel_center': 0.9867500807547946, 'rel_inertia': 0.9975292144898938}
A Ç {'rel_weight': 0.9824719651661451, 'rel_center': 0.9882292291378779, 'rel_inertia': 0.996829431154833}
A D {'rel_weight': 0.9385200252328674, 'rel_center': 0.9871955413249559, 'rel_inertia': 0.9959122306908447}
A E {'rel_weight': 0.9711927323880871, 'rel_center': 0.9880755764714667, 'rel_inertia': 0.9971970514713152}
A F {'rel_weight': 0.9855990467517595, 'rel_center': 0.9871016768610517, 'rel_inertia': 0.9976202620617597}
A G {'rel_weight': 0.9663850534797228, 'rel_center': 0.9902289127294294, 'rel_inertia': 0.9963337822709976}
A Ğ {'rel_weight': 0.9517279036947446, 'rel_center': 0.9838886793783538, 'rel_inertia': 0.9937780787277234}
A H {'rel_weight': 0.9245958722901498, 'rel_center': 0.9860623133220828, 'rel_inertia': 0.9947906067126974}
A I {'rel_weight': 0.9884896542273348, 'rel_center': 0.9944164447078225, 'rel_inertia': 0.9985220156905749}
A İ {'rel_weight': 0.9986847205733037, 'rel_center': 0.9896822376994475, 'rel_inertia': 0.9966740251486326}
A J {'rel_weight': 0.9996546175356869, 'rel_center': 0.9962420928680142, 'rel_inertia': 0.9987752894983595}
A K {'rel_weight': 0.9410646112290045, 'rel_center': 0.9880906769936185, 'rel_inertia': 0.9963668326273508}
A L {'rel_weight': 0.9961982368320547, 'rel_center': 0.9890727291451678, 'rel_inertia': 0.9986221539857267}
A M {'rel_weight': 0.913032359367945, 'rel_center': 0.9822481408318715, 'rel_inertia': 0.9921418428374575}
A N {'rel_weight': 0.9783331807145967, 'rel_center': 0.9881566815155712, 'rel_inertia': 0.997452159456581}
A O {'rel_weight': 0.9466136481603397, 'rel_center': 0.9887780946179966, 'rel_inertia': 0.9953378031258029}
A Ö {'rel_weight': 0.9302759010526115, 'rel_center': 0.9797389617476114, 'rel_inertia': 0.9925458560885931}
A P {'rel_weight': 0.9750974037797498, 'rel_center': 0.9854062254283052, 'rel_inertia': 0.997117283928439}
A R {'rel_weight': 0.9319314148332308, 'rel_center': 0.9870336264520315, 'rel_inertia': 0.9960296973968502}
A S {'rel_weight': 0.9905209951298297, 'rel_center': 0.9931700355236838, 'rel_inertia': 0.9987207799162411}
A Ş {'rel_weight': 0.9804234758921464, 'rel_center': 0.9958885725521482, 'rel_inertia': 0.9979084981107013}
A T {'rel_weight': 0.993210508258277, 'rel_center': 0.9885282787620877, 'rel_inertia': 0.9971569235089558}
A U {'rel_weight': 0.9876670454474152, 'rel_center': 0.9878181961842332, 'rel_inertia': 0.9976598570765914}
A Ü {'rel_weight': 0.9713376595203972, 'rel_center': 0.9810269098969251, 'rel_inertia': 0.9941536826340177}
A V {'rel_weight': 0.9982192815137694, 'rel_center': 0.9874827559893746, 'rel_inertia': 0.9982060502171993}
A Y {'rel_weight': 0.993032136403126, 'rel_center': 0.9891869032443318, 'rel_inertia': 0.9979199030162386}
A Z {'rel_weight': 0.9739324126007955, 'rel_center': 0.9921682612539893, 'rel_inertia': 0.9971945680257156}
B A {'rel_weight': 0.9458624753255518, 'rel_center': 0.9886342929818885, 'rel_inertia': 0.996931192688523}
B B {'rel_weight': 0.9938868564767565, 'rel_center': 0.99917476164695, 'rel_inertia': 0.9995501456747237}
B C {'rel_weight': 0.9493992547659659, 'rel_center': 0.9899484446571584, 'rel_inertia': 0.9990538003114398}
B Ç {'rel_weight': 0.9595023481241226, 'rel_center': 0.9883606590464056, 'rel_inertia': 0.999829526375129}
B D {'rel_weight': 0.9965457119425997, 'rel_center': 0.9980116497623819, 'rel_inertia': 0.9987908489162027}
B E {'rel_weight': 0.9707815809021806, 'rel_center': 0.9928293712714842, 'rel_inertia': 0.9993042332379942}
B F {'rel_weight': 0.9563752665385082, 'rel_center': 0.9942941967359636, 'rel_inertia': 0.9985740696379325}
B G {'rel_weight': 0.9755892598105449, 'rel_center': 0.9928928931617033, 'rel_inertia': 0.9982761979787595}
B Ğ {'rel_weight': 0.9902464095955231, 'rel_center': 0.9939419663094934, 'rel_inertia': 0.9970087115027303}
B H {'rel_weight': 0.9826215589998821, 'rel_center': 0.997488078538086, 'rel_inertia': 0.9977172353344256}
B I {'rel_weight': 0.9304639675176025, 'rel_center': 0.9933697904113091, 'rel_inertia': 0.9968221046686921}
B İ {'rel_weight': 0.9406590338635714, 'rel_center': 0.9982595360500726, 'rel_inertia': 0.9975565282698811}
B J {'rel_weight': 0.9416289308259546, 'rel_center': 0.9923207674089106, 'rel_inertia': 0.9972654147478835}
B K {'rel_weight': 0.9990902979387368, 'rel_center': 0.9915889292197134, 'rel_inertia': 0.9990082137410963}
B L {'rel_weight': 0.945776076458213, 'rel_center': 0.9875950509823264, 'rel_inertia': 0.9981246898597272}
B M {'rel_weight': 0.9710580460776773, 'rel_center': 0.9917064397185374, 'rel_inertia': 0.9946270778096411}
B N {'rel_weight': 0.963641132575671, 'rel_center': 0.9992812835008702, 'rel_inertia': 0.9992951367001786}
B O {'rel_weight': 0.995360665129928, 'rel_center': 0.9992027941827321, 'rel_inertia': 0.9974101815343908}
B Ö {'rel_weight': 0.9883015877623438, 'rel_center': 0.9911508461741361, 'rel_inertia': 0.9957334655792587}
B P {'rel_weight': 0.9668769095105179, 'rel_center': 0.9959261434670043, 'rel_inertia': 0.9989492106177699}
B R {'rel_weight': 0.9899571015429631, 'rel_center': 0.9967423572447299, 'rel_inertia': 0.9991887267410263}
B S {'rel_weight': 0.951453318160438, 'rel_center': 0.9948433250562747, 'rel_inertia': 0.9978575874912271}
B Ş {'rel_weight': 0.9615508373981213, 'rel_center': 0.9917066708247284, 'rel_inertia': 0.998427269680349}
B T {'rel_weight': 0.9487638050319908, 'rel_center': 0.9991113490193458, 'rel_inertia': 0.9983139756520472}
B U {'rel_weight': 0.9543072678428525, 'rel_center': 0.9916826727360243, 'rel_inertia': 0.9990692713715398}
B Ü {'rel_weight': 0.9706366537698705, 'rel_center': 0.990821370214374, 'rel_inertia': 0.9972497196739546}
B V {'rel_weight': 0.9401935948040371, 'rel_center': 0.995259710596976, 'rel_inertia': 0.9983245193174589}
B Y {'rel_weight': 0.9489421768871417, 'rel_center': 0.9957632452442858, 'rel_inertia': 0.9983543135775517}
B Z {'rel_weight': 0.9680419006894722, 'rel_center': 0.9956347672760731, 'rel_inertia': 0.9991989293347967}
C A {'rel_weight': 0.9985471318091292, 'rel_center': 0.9873634179494454, 'rel_inertia': 0.9981099396204526}
C B {'rel_weight': 0.9382964636114375, 'rel_center': 0.9897092822887493, 'rel_inertia': 0.9982843538968498}
C C {'rel_weight': 0.9950103523687152, 'rel_center': 0.999267922030305, 'rel_inertia': 0.9996023119120052}
C Ç {'rel_weight': 0.9849072590105584, 'rel_center': 0.997373524528601, 'rel_inertia': 0.9988317719138097}
C D {'rel_weight': 0.9409553190772807, 'rel_center': 0.991010950265862, 'rel_inertia': 0.9979842350508806}
C E {'rel_weight': 0.9736280262325004, 'rel_center': 0.9972278104161053, 'rel_inertia': 0.998830478504521}
C F {'rel_weight': 0.9880343405961728, 'rel_center': 0.9951107572244087, 'rel_inertia': 0.998623018350087}
C G {'rel_weight': 0.9688203473241361, 'rel_center': 0.9965927646601694, 'rel_inertia': 0.9982264832760949}
C Ğ {'rel_weight': 0.9541631975391579, 'rel_center': 0.9913842267904998, 'rel_inertia': 0.9958266715540854}
C H {'rel_weight': 0.9270311661345632, 'rel_center': 0.9892944670860427, 'rel_inertia': 0.9968539693673695}
C I {'rel_weight': 0.9860543603829215, 'rel_center': 0.9920877089891331, 'rel_inertia': 0.9975437893224735}
